atom_id,atom_kind,bucket,source_ref,Core1_disposition,Core1_locator,Core1_reason,Core2_disposition,Core2_locator,Core2_reason,Core1A_disposition,Core1A_locator,Core1A_reason,Core1B_disposition,Core1B_locator,Core1B_reason,Core2A_disposition,Core2A_locator,Core2A_reason,Core2B_disposition,Core2B_locator,Core2B_reason,required_core_count,realized_core_count
REQ-C-B03-03,contract_concept,B03,ASSIGNMENT-CONTRACT,FULL_TEACHING,Core1.md#b03-coordinates-components-and-reconstructing-a-vector-visually,concise teaching,REFERENCE,Core2.md#help-map,canonical help reference,FULL_TEACHING,Core1A.md#b03-coordinates-components-and-reconstructing-a-vector-visually,declarative teaching,RECALL,Core1B.md#b03-coordinates-components-and-reconstructing-a-vector-visually,reconstruction/reference,APPLICATION,Core2A.md#2a-q02,generated application,TRANSFER,Core2B.md#2b-q02,generated transfer,6,6
REQ-C-B04-01,contract_concept,B04,ASSIGNMENT-CONTRACT,FULL_TEACHING,Core1.md#b04-constant-motion-in-two-coordinates-tables-and-graphs,concise teaching,REFERENCE,Core2.md#help-map,canonical help reference,FULL_TEACHING,Core1A.md#b04-constant-motion-in-two-coordinates-tables-and-graphs,declarative teaching,RECALL,Core1B.md#b04-constant-motion-in-two-coordinates-tables-and-graphs,reconstruction/reference,APPLICATION,Core2A.md#2a-q05,generated application,TRANSFER,Core2B.md#2b-q05,generated transfer,6,6
REQ-C-B04-02,contract_concept,B04,ASSIGNMENT-CONTRACT,FULL_TEACHING,Core1.md#b04-constant-motion-in-two-coordinates-tables-and-graphs,concise teaching,REFERENCE,Core2.md#help-map,canonical help reference,FULL_TEACHING,Core1A.md#b04-constant-motion-in-two-coordinates-tables-and-graphs,declarative teaching,RECALL,Core1B.md#b04-constant-motion-in-two-coordinates-tables-and-graphs,reconstruction/reference,APPLICATION,Core2A.md#2a-q05,generated application,TRANSFER,Core2B.md#2b-q05,generated transfer,6,6
REQ-C-B04-03,contract_concept,B04,ASSIGNMENT-CONTRACT,FULL_TEACHING,Core1.md#b04-constant-motion-in-two-coordinates-tables-and-graphs,concise teaching,REFERENCE,Core2.md#help-map,canonical help reference,FULL_TEACHING,Core1A.md#b04-constant-motion-in-two-coordinates-tables-and-graphs,declarative teaching,RECALL,Core1B.md#b04-constant-motion-in-two-coordinates-tables-and-graphs,reconstruction/reference,APPLICATION,Core2A.md#2a-q05,generated application,TRANSFER,Core2B.md#2b-q05,generated transfer,6,6
REQ-C-B05-01,contract_concept,B05,ASSIGNMENT-CONTRACT,FULL_TEACHING,Core1.md#b05-one-dimensional-relative-motion-units-and-signs,concise teaching,REFERENCE,Core2.md#help-map,canonical help reference,FULL_TEACHING,Core1A.md#b05-one-dimensional-relative-motion-units-and-signs,declarative teaching,RECALL,Core1B.md#b05-one-dimensional-relative-motion-units-and-signs,reconstruction/reference,APPLICATION,Core2A.md#2a-q04,generated application,TRANSFER,Core2B.md#2b-q04,generated transfer,6,6
REQ-C-B05-02,contract_concept,B05,ASSIGNMENT-CONTRACT,FULL_TEACHING,Core1.md#b05-one-dimensional-relative-motion-units-and-signs,concise teaching,REFERENCE,Core2.md#help-map,canonical help reference,FULL_TEACHING,Core1A.md#b05-one-dimensional-relative-motion-units-and-signs,declarative teaching,RECALL,Core1B.md#b05-one-dimensional-relative-motion-units-and-signs,reconstruction/reference,APPLICATION,Core2A.md#2a-q04,generated application,TRANSFER,Core2B.md#2b-q04,generated transfer,6,6
REQ-C-B05-03,contract_concept,B05,ASSIGNMENT-CONTRACT,FULL_TEACHING,Core1.md#b05-one-dimensional-relative-motion-units-and-signs,concise teaching,REFERENCE,Core2.md#help-map,canonical help reference,FULL_TEACHING,Core1A.md#b05-one-dimensional-relative-motion-units-and-signs,declarative teaching,RECALL,Core1B.md#b05-one-dimensional-relative-motion-units-and-signs,reconstruction/reference,APPLICATION,Core2A.md#2a-q04,generated application,TRANSFER,Core2B.md#2b-q04,generated transfer,6,6
REQ-C-B05-04,contract_concept,B05,ASSIGNMENT-CONTRACT,FULL_TEACHING,Core1.md#b05-one-dimensional-relative-motion-units-and-signs,concise teaching,REFERENCE,Core2.md#help-map,canonical help reference,FULL_TEACHING,Core1A.md#b05-one-dimensional-relative-motion-units-and-signs,declarative teaching,RECALL,Core1B.md#b05-one-dimensional-relative-motion-units-and-signs,reconstruction/reference,APPLICATION,Core2A.md#2a-q04,generated application,TRANSFER,Core2B.md#2b-q04,generated transfer,6,6
REQ-C-B06-01,contract_concept,B06,ASSIGNMENT-CONTRACT,FULL_TEACHING,Core1.md#b06-relative-velocity-in-two-dimensions-and-observer-reversal,concise teaching,REFERENCE,Core2.md#help-map,canonical help reference,FULL_TEACHING,Core1A.md#b06-relative-velocity-in-two-dimensions-and-observer-reversal,declarative teaching,RECALL,Core1B.md#b06-relative-velocity-in-two-dimensions-and-observer-reversal,reconstruction/reference,APPLICATION,Core2A.md#2a-q06,generated application,TRANSFER,Core2B.md#2b-q06,generated transfer,6,6
REQ-C-B06-02,contract_concept,B06,ASSIGNMENT-CONTRACT,FULL_TEACHING,Core1.md#b06-relative-velocity-in-two-dimensions-and-observer-reversal,concise teaching,REFERENCE,Core2.md#help-map,canonical help reference,FULL_TEACHING,Core1A.md#b06-relative-velocity-in-two-dimensions-and-observer-reversal,declarative teaching,RECALL,Core1B.md#b06-relative-velocity-in-two-dimensions-and-observer-reversal,reconstruction/reference,APPLICATION,Core2A.md#2a-q06,generated application,TRANSFER,Core2B.md#2b-q06,generated transfer,6,6
REQ-C-B06-03,contract_concept,B06,ASSIGNMENT-CONTRACT,FULL_TEACHING,Core1.md#b06-relative-velocity-in-two-dimensions-and-observer-reversal,concise teaching,REFERENCE,Core2.md#help-map,canonical help reference,FULL_TEACHING,Core1A.md#b06-relative-velocity-in-two-dimensions-and-observer-reversal,declarative teaching,RECALL,Core1B.md#b06-relative-velocity-in-two-dimensions-and-observer-reversal,reconstruction/reference,APPLICATION,Core2A.md#2a-q06,generated application,TRANSFER,Core2B.md#2b-q06,generated transfer,6,6
REQ-C-B07-01,contract_concept,B07,ASSIGNMENT-CONTRACT,FULL_TEACHING,Core1.md#b07-meeting-requires-the-same-position-at-the-same-time,concise teaching,REFERENCE,Core2.md#help-map,canonical help reference,FULL_TEACHING,Core1A.md#b07-meeting-requires-the-same-position-at-the-same-time,declarative teaching,RECALL,Core1B.md#b07-meeting-requires-the-same-position-at-the-same-time,reconstruction/reference,APPLICATION,Core2A.md#2a-q07,generated application,TRANSFER,Core2B.md#2b-q07,generated transfer,6,6
REQ-C-B07-02,contract_concept,B07,ASSIGNMENT-CONTRACT,FULL_TEACHING,Core1.md#b07-meeting-requires-the-same-position-at-the-same-time,concise teaching,REFERENCE,Core2.md#help-map,canonical help reference,FULL_TEACHING,Core1A.md#b07-meeting-requires-the-same-position-at-the-same-time,declarative teaching,RECALL,Core1B.md#b07-meeting-requires-the-same-position-at-the-same-time,reconstruction/reference,APPLICATION,Core2A.md#2a-q07,generated application,TRANSFER,Core2B.md#2b-q07,generated transfer,6,6
REQ-C-B07-03,contract_concept,B07,ASSIGNMENT-CONTRACT,FULL_TEACHING,Core1.md#b07-meeting-requires-the-same-position-at-the-same-time,concise teaching,REFERENCE,Core2.md#help-map,canonical help reference,FULL_TEACHING,Core1A.md#b07-meeting-requires-the-same-position-at-the-same-time,declarative teaching,RECALL,Core1B.md#b07-meeting-requires-the-same-position-at-the-same-time,reconstruction/reference,APPLICATION,Core2A.md#2a-q07,generated application,TRANSFER,Core2B.md#2b-q07,generated transfer,6,6
REQ-C-B08-01,contract_concept,B08,ASSIGNMENT-CONTRACT,FULL_TEACHING,Core1.md#b08-boatcurrent-and-rainobserver-model-transfer-ambiguity,concise teaching,REFERENCE,Core2.md#help-map,canonical help reference,FULL_TEACHING,Core1A.md#b08-boatcurrent-and-rainobserver-model-transfer-ambiguity,declarative teaching,RECALL,Core1B.md#b08-boatcurrent-and-rainobserver-model-transfer-ambiguity,reconstruction/reference,APPLICATION,Core2A.md#2a-q08,generated application,TRANSFER,Core2B.md#2b-q08,generated transfer,6,6
REQ-C-B08-02,contract_concept,B08,ASSIGNMENT-CONTRACT,FULL_TEACHING,Core1.md#b08-boatcurrent-and-rainobserver-model-transfer-ambiguity,concise teaching,REFERENCE,Core2.md#help-map,canonical help reference,FULL_TEACHING,Core1A.md#b08-boatcurrent-and-rainobserver-model-transfer-ambiguity,declarative teaching,RECALL,Core1B.md#b08-boatcurrent-and-rainobserver-model-transfer-ambiguity,reconstruction/reference,APPLICATION,Core2A.md#2a-q08,generated application,TRANSFER,Core2B.md#2b-q08,generated transfer,6,6
REQ-C-B08-03,contract_concept,B08,ASSIGNMENT-CONTRACT,FULL_TEACHING,Core1.md#b08-boatcurrent-and-rainobserver-model-transfer-ambiguity,concise teaching,REFERENCE,Core2.md#help-map,canonical help reference,FULL_TEACHING,Core1A.md#b08-boatcurrent-and-rainobserver-model-transfer-ambiguity,declarative teaching,RECALL,Core1B.md#b08-boatcurrent-and-rainobserver-model-transfer-ambiguity,reconstruction/reference,APPLICATION,Core2A.md#2a-q08,generated application,TRANSFER,Core2B.md#2b-q08,generated transfer,6,6
REQ-C-B08-04,contract_concept,B08,ASSIGNMENT-CONTRACT,FULL_TEACHING,Core1.md#b08-boatcurrent-and-rainobserver-model-transfer-ambiguity,concise teaching,REFERENCE,Core2.md#help-map,canonical help reference,FULL_TEACHING,Core1A.md#b08-boatcurrent-and-rainobserver-model-transfer-ambiguity,declarative teaching,RECALL,Core1B.md#b08-boatcurrent-and-rainobserver-model-transfer-ambiguity,reconstruction/reference,APPLICATION,Core2A.md#2a-q08,generated application,TRANSFER,Core2B.md#2b-q08,generated transfer,6,6
REQ-C-B08-05,contract_concept,B08,ASSIGNMENT-CONTRACT,FULL_TEACHING,Core1.md#b08-boatcurrent-and-rainobserver-model-transfer-ambiguity,concise teaching,REFERENCE,Core2.md#help-map,canonical help reference,FULL_TEACHING,Core1A.md#b08-boatcurrent-and-rainobserver-model-transfer-ambiguity,declarative teaching,RECALL,Core1B.md#b08-boatcurrent-and-rainobserver-model-transfer-ambiguity,reconstruction/reference,APPLICATION,Core2A.md#2a-q08,generated application,TRANSFER,Core2B.md#2b-q08,generated transfer,6,6
REQ-EQ-001,equation,B03,ASSIGNMENT-CONTRACT,FULL_TEACHING,Core1.md#b03-coordinates-components-and-reconstructing-a-vector-visually,concise teaching,REFERENCE,Core2.md#help-map,canonical help reference,FULL_TEACHING,Core1A.md#b03-coordinates-components-and-reconstructing-a-vector-visually,declarative teaching,RECALL,Core1B.md#b03-coordinates-components-and-reconstructing-a-vector-visually,reconstruction/reference,APPLICATION,Core2A.md#2a-q02,generated application,TRANSFER,Core2B.md#2b-q02,generated transfer,6,6
REQ-EQ-002,equation,B03,ASSIGNMENT-CONTRACT,FULL_TEACHING,Core1.md#b03-coordinates-components-and-reconstructing-a-vector-visually,concise teaching,REFERENCE,Core2.md#help-map,canonical help reference,FULL_TEACHING,Core1A.md#b03-coordinates-components-and-reconstructing-a-vector-visually,declarative teaching,RECALL,Core1B.md#b03-coordinates-components-and-reconstructing-a-vector-visually,reconstruction/reference,APPLICATION,Core2A.md#2a-q02,generated application,TRANSFER,Core2B.md#2b-q02,generated transfer,6,6
REQ-EQ-003,equation,B02,ASSIGNMENT-CONTRACT,FULL_TEACHING,Core1.md#b02-path-distance-displacement-and-average-quantities,concise teaching,REFERENCE,Core2.md#help-map,canonical help reference,FULL_TEACHING,Core1A.md#b02-path-distance-displacement-and-average-quantities,declarative teaching,RECALL,Core1B.md#b02-path-distance-displacement-and-average-quantities,reconstruction/reference,APPLICATION,Core2A.md#2a-q01,generated application,TRANSFER,Core2B.md#2b-q01,generated transfer,6,6
REQ-EQ-004,equation,B04,ASSIGNMENT-CONTRACT,FULL_TEACHING,Core1.md#b04-constant-motion-in-two-coordinates-tables-and-graphs,concise teaching,REFERENCE,Core2.md#help-map,canonical help reference,FULL_TEACHING,Core1A.md#b04-constant-motion-in-two-coordinates-tables-and-graphs,declarative teaching,RECALL,Core1B.md#b04-constant-motion-in-two-coordinates-tables-and-graphs,reconstruction/reference,APPLICATION,Core2A.md#2a-q05,generated application,TRANSFER,Core2B.md#2b-q05,generated transfer,6,6
REQ-EQ-005,equation,B05,ASSIGNMENT-CONTRACT,FULL_TEACHING,Core1.md#b05-one-dimensional-relative-motion-units-and-signs,concise teaching,REFERENCE,Core2.md#help-map,canonical help reference,FULL_TEACHING,Core1A.md#b05-one-dimensional-relative-motion-units-and-signs,declarative teaching,RECALL,Core1B.md#b05-one-dimensional-relative-motion-units-and-signs,reconstruction/reference,APPLICATION,Core2A.md#2a-q04,generated application,TRANSFER,Core2B.md#2b-q04,generated transfer,6,6
REQ-EQ-006,equation,B06,ASSIGNMENT-CONTRACT,FULL_TEACHING,Core1.md#b06-relative-velocity-in-two-dimensions-and-observer-reversal,concise teaching,REFERENCE,Core2.md#help-map,canonical help reference,FULL_TEACHING,Core1A.md#b06-relative-velocity-in-two-dimensions-and-observer-reversal,declarative teaching,RECALL,Core1B.md#b06-relative-velocity-in-two-dimensions-and-observer-reversal,reconstruction/reference,APPLICATION,Core2A.md#2a-q06,generated application,TRANSFER,Core2B.md#2b-q06,generated transfer,6,6
REQ-EQ-007,equation,B07,ASSIGNMENT-CONTRACT,FULL_TEACHING,Core1.md#b07-meeting-requires-the-same-position-at-the-same-time,concise teaching,REFERENCE,Core2.md#help-map,canonical help reference,FULL_TEACHING,Core1A.md#b07-meeting-requires-the-same-position-at-the-same-time,declarative teaching,RECALL,Core1B.md#b07-meeting-requires-the-same-position-at-the-same-time,reconstruction/reference,APPLICATION,Core2A.md#2a-q07,generated application,TRANSFER,Core2B.md#2b-q07,generated transfer,6,6
REQ-EQ-008,equation,B08,ASSIGNMENT-CONTRACT,FULL_TEACHING,Core1.md#b08-boatcurrent-and-rainobserver-model-transfer-ambiguity,concise teaching,REFERENCE,Core2.md#help-map,canonical help reference,FULL_TEACHING,Core1A.md#b08-boatcurrent-and-rainobserver-model-transfer-ambiguity,declarative teaching,RECALL,Core1B.md#b08-boatcurrent-and-rainobserver-model-transfer-ambiguity,reconstruction/reference,APPLICATION,Core2A.md#2a-q08,generated application,TRANSFER,Core2B.md#2b-q08,generated transfer,6,6
REQ-EQ-009,equation,B03,ASSIGNMENT-CONTRACT,FULL_TEACHING,Core1.md#b03-coordinates-components-and-reconstructing-a-vector-visually,concise teaching,REFERENCE,Core2.md#help-map,canonical help reference,FULL_TEACHING,Core1A.md#b03-coordinates-components-and-reconstructing-a-vector-visually,declarative teaching,RECALL,Core1B.md#b03-coordinates-components-and-reconstructing-a-vector-visually,reconstruction/reference,APPLICATION,Core2A.md#2a-q02,generated application,TRANSFER,Core2B.md#2b-q02,generated transfer,6,6
REQ-EQ-010,equation,B05,ASSIGNMENT-CONTRACT,FULL_TEACHING,Core1.md#b05-one-dimensional-relative-motion-units-and-signs,concise teaching,REFERENCE,Core2.md#help-map,canonical help reference,FULL_TEACHING,Core1A.md#b05-one-dimensional-relative-motion-units-and-signs,declarative teaching,RECALL,Core1B.md#b05-one-dimensional-relative-motion-units-and-signs,reconstruction/reference,APPLICATION,Core2A.md#2a-q04,generated application,TRANSFER,Core2B.md#2b-q04,generated transfer,6,6
REQ-EQ-011,equation,B08,ASSIGNMENT-CONTRACT,FULL_TEACHING,Core1.md#b08-boatcurrent-and-rainobserver-model-transfer-ambiguity,concise teaching,REFERENCE,Core2.md#help-map,canonical help reference,FULL_TEACHING,Core1A.md#b08-boatcurrent-and-rainobserver-model-transfer-ambiguity,declarative teaching,RECALL,Core1B.md#b08-boatcurrent-and-rainobserver-model-transfer-ambiguity,reconstruction/reference,APPLICATION,Core2A.md#2a-q08,generated application,TRANSFER,Core2B.md#2b-q08,generated transfer,6,6
REQ-VIS-001,visual_relationship,B02,ASSIGNMENT-CONTRACT,FULL_TEACHING,Core1.md#b02-path-distance-displacement-and-average-quantities,concise teaching,REFERENCE,Core2.md#help-map,canonical help reference,FULL_TEACHING,Core1A.md#b02-path-distance-displacement-and-average-quantities,declarative teaching,RECALL,Core1B.md#b02-path-distance-displacement-and-average-quantities,reconstruction/reference,APPLICATION,Core2A.md#2a-q01,generated application,TRANSFER,Core2B.md#2b-q01,generated transfer,6,6
REQ-VIS-002,visual_relationship,B03,ASSIGNMENT-CONTRACT,FULL_TEACHING,Core1.md#b03-coordinates-components-and-reconstructing-a-vector-visually,concise teaching,REFERENCE,Core2.md#help-map,canonical help reference,FULL_TEACHING,Core1A.md#b03-coordinates-components-and-reconstructing-a-vector-visually,declarative teaching,RECALL,Core1B.md#b03-coordinates-components-and-reconstructing-a-vector-visually,reconstruction/reference,APPLICATION,Core2A.md#2a-q02,generated application,TRANSFER,Core2B.md#2b-q02,generated transfer,6,6
REQ-VIS-003,visual_relationship,B04,ASSIGNMENT-CONTRACT,FULL_TEACHING,Core1.md#b04-constant-motion-in-two-coordinates-tables-and-graphs,concise teaching,REFERENCE,Core2.md#help-map,canonical help reference,FULL_TEACHING,Core1A.md#b04-constant-motion-in-two-coordinates-tables-and-graphs,declarative teaching,RECALL,Core1B.md#b04-constant-motion-in-two-coordinates-tables-and-graphs,reconstruction/reference,APPLICATION,Core2A.md#2a-q05,generated application,TRANSFER,Core2B.md#2b-q05,generated transfer,6,6
REQ-VIS-004,visual_relationship,B04,ASSIGNMENT-CONTRACT,FULL_TEACHING,Core1.md#b04-constant-motion-in-two-coordinates-tables-and-graphs,concise teaching,REFERENCE,Core2.md#help-map,canonical help reference,FULL_TEACHING,Core1A.md#b04-constant-motion-in-two-coordinates-tables-and-graphs,declarative teaching,RECALL,Core1B.md#b04-constant-motion-in-two-coordinates-tables-and-graphs,reconstruction/reference,APPLICATION,Core2A.md#2a-q05,generated application,TRANSFER,Core2B.md#2b-q05,generated transfer,6,6
REQ-VIS-005,visual_relationship,B06,ASSIGNMENT-CONTRACT,FULL_TEACHING,Core1.md#b06-relative-velocity-in-two-dimensions-and-observer-reversal,concise teaching,REFERENCE,Core2.md#help-map,canonical help reference,FULL_TEACHING,Core1A.md#b06-relative-velocity-in-two-dimensions-and-observer-reversal,declarative teaching,RECALL,Core1B.md#b06-relative-velocity-in-two-dimensions-and-observer-reversal,reconstruction/reference,APPLICATION,Core2A.md#2a-q06,generated application,TRANSFER,Core2B.md#2b-q06,generated transfer,6,6
REQ-VIS-006,visual_relationship,B07,ASSIGNMENT-CONTRACT,FULL_TEACHING,Core1.md#b07-meeting-requires-the-same-position-at-the-same-time,concise teaching,REFERENCE,Core2.md#help-map,canonical help reference,FULL_TEACHING,Core1A.md#b07-meeting-requires-the-same-position-at-the-same-time,declarative teaching,RECALL,Core1B.md#b07-meeting-requires-the-same-position-at-the-same-time,reconstruction/reference,APPLICATION,Core2A.md#2a-q07,generated application,TRANSFER,Core2B.md#2b-q07,generated transfer,6,6
REQ-VIS-007,visual_relationship,B08,ASSIGNMENT-CONTRACT,FULL_TEACHING,Core1.md#b08-boatcurrent-and-rainobserver-model-transfer-ambiguity,concise teaching,REFERENCE,Core2.md#help-map,canonical help reference,FULL_TEACHING,Core1A.md#b08-boatcurrent-and-rainobserver-model-transfer-ambiguity,declarative teaching,RECALL,Core1B.md#b08-boatcurrent-and-rainobserver-model-transfer-ambiguity,reconstruction/reference,APPLICATION,Core2A.md#2a-q08,generated application,TRANSFER,Core2B.md#2b-q08,generated transfer,6,6
REQ-VIS-008,visual_relationship,B08,ASSIGNMENT-CONTRACT,FULL_TEACHING,Core1.md#b08-boatcurrent-and-rainobserver-model-transfer-ambiguity,concise teaching,REFERENCE,Core2.md#help-map,canonical help reference,FULL_TEACHING,Core1A.md#b08-boatcurrent-and-rainobserver-model-transfer-ambiguity,declarative teaching,RECALL,Core1B.md#b08-boatcurrent-and-rainobserver-model-transfer-ambiguity,reconstruction/reference,APPLICATION,Core2A.md#2a-q08,generated application,TRANSFER,Core2B.md#2b-q08,generated transfer,6,6
