question_id,core,source,original_source_number,primary_concept,linked_concepts,bucket,syllabus_status,inference_steps,representation_translation,interacting_constraints,algebra_burden,novelty,demand_total,question_demand_badge,support_level,answer_locator,demand_rationale,conceptual_source,parent_question,provenance_note
C1A-Q03,Core1A,Agent-authored checkpoint,,coordinate changes,negative components; magnitude,B03,CBSE_OPTIONAL_ADVANCED,2,1,1,1,0,5,standard,worked teaching available,Core1A.md#c1a-q03-answer,Checkpoint reconstructs the explicit B03 teaching rather than merely recalling a definition.,CBSE/OpenStax/canonical register,,Agent-authored; not official/PYQ.
C1A-Q04,Core1A,Agent-authored checkpoint,,constant planar equations,graphs; shared time,B04,REQUESTED_ENRICHMENT,2,1,1,1,0,5,standard,worked teaching available,Core1A.md#c1a-q04-answer,Checkpoint reconstructs the explicit B04 teaching rather than merely recalling a definition.,CBSE/OpenStax/canonical register,,Agent-authored; not official/PYQ.
C1A-Q05,Core1A,Agent-authored checkpoint,,1D relative velocity,unit conversion,B05,REQUESTED_ENRICHMENT,2,0,2,1,0,5,standard,worked teaching available,Core1A.md#c1a-q05-answer,Checkpoint reconstructs the explicit B05 teaching rather than merely recalling a definition.,CBSE/OpenStax/canonical register,,Agent-authored; not official/PYQ.
C1A-Q06,Core1A,Agent-authored checkpoint,,observer reversal in 2D,relative position,B06,REQUESTED_ENRICHMENT,2,1,2,1,0,6,standard,worked teaching available,Core1A.md#c1a-q06-answer,Checkpoint reconstructs the explicit B06 teaching rather than merely recalling a definition.,CBSE/OpenStax/canonical register,,Agent-authored; not official/PYQ.
C1A-Q07,Core1A,Agent-authored checkpoint,,2D meeting test,same time,B07,REQUESTED_ENRICHMENT,2,1,2,2,0,7,stretch,worked teaching available,Core1A.md#c1a-q07-answer,Checkpoint reconstructs the explicit B07 teaching rather than merely recalling a definition.,CBSE/OpenStax/canonical register,,Agent-authored; not official/PYQ.
C1A-Q08,Core1A,Agent-authored checkpoint,,frame-chain transfer,crossing component; ambiguity,B08,REQUESTED_ENRICHMENT,2,2,2,1,1,8,stretch,worked teaching available,Core1A.md#c1a-q08-answer,Checkpoint reconstructs the explicit B08 teaching rather than merely recalling a definition.,CBSE/OpenStax/canonical register,,Agent-authored; not official/PYQ.
C1B-B01-P1,Core1B,Agent-authored tutor prompt,,Observer,prediction; reconstruction,B01,CBSE_OPTIONAL_ADVANCED,1,1,0,0,1,3,entry,attempt first; reveal after attempt,Core1B.md#c1b-b01-p1-reasoning,Easy bucket requires a learner-generated prediction/reconstruction before model reveal.,canonical register,,Agent-authored; not official/PYQ.
C1B-B01-R1,Core1B,Agent-authored retry,,repair and transfer,retry after feedback,B01,CBSE_OPTIONAL_ADVANCED,0,0,0,0,0,0,entry,targeted feedback available,Core1B.md#c1b-b01-r1-answer,Retry checks repaired reconstruction after targeted feedback.,canonical register,C1B-B01-P1,Agent-authored retry; not official/PYQ.
C1B-B02-P1,Core1B,Agent-authored tutor prompt,,Path,prediction; reconstruction,B02,CBSE_STANDARD,2,1,1,1,0,5,standard,attempt first; reveal after attempt,Core1B.md#c1b-b02-p1-reasoning,Medium bucket requires a learner-generated prediction/reconstruction before model reveal.,canonical register,,Agent-authored; not official/PYQ.
C1B-B02-R1,Core1B,Agent-authored retry,,repair and transfer,retry after feedback,B02,CBSE_STANDARD,1,0,0,0,0,1,entry,targeted feedback available,Core1B.md#c1b-b02-r1-answer,Retry checks repaired reconstruction after targeted feedback.,canonical register,C1B-B02-P1,Agent-authored retry; not official/PYQ.
C1B-B03-P1,Core1B,Agent-authored tutor prompt,,Coordinates,prediction; reconstruction,B03,CBSE_OPTIONAL_ADVANCED,2,2,1,1,1,7,stretch,attempt first; reveal after attempt,Core1B.md#c1b-b03-p1-reasoning,Hard bucket requires a learner-generated prediction/reconstruction before model reveal.,canonical register,,Agent-authored; not official/PYQ.
C1B-B03-R1,Core1B,Agent-authored retry,,repair and transfer,retry after feedback,B03,CBSE_OPTIONAL_ADVANCED,1,1,0,0,0,2,entry,targeted feedback available,Core1B.md#c1b-b03-r1-answer,Retry checks repaired reconstruction after targeted feedback.,canonical register,C1B-B03-P1,Agent-authored retry; not official/PYQ.
C1B-B04-P1,Core1B,Agent-authored tutor prompt,,Constant motion in two coordinates; tables and graphs,prediction; reconstruction,B04,REQUESTED_ENRICHMENT,2,1,1,1,0,5,standard,attempt first; reveal after attempt,Core1B.md#c1b-b04-p1-reasoning,Medium bucket requires a learner-generated prediction/reconstruction before model reveal.,canonical register,,Agent-authored; not official/PYQ.
C1B-B04-R1,Core1B,Agent-authored retry,,repair and transfer,retry after feedback,B04,REQUESTED_ENRICHMENT,1,0,0,0,0,1,entry,targeted feedback available,Core1B.md#c1b-b04-r1-answer,Retry checks repaired reconstruction after targeted feedback.,canonical register,C1B-B04-P1,Agent-authored retry; not official/PYQ.
C1B-B05-P1,Core1B,Agent-authored tutor prompt,,One-dimensional relative motion,prediction; reconstruction,B05,REQUESTED_ENRICHMENT,2,1,1,1,0,5,standard,attempt first; reveal after attempt,Core1B.md#c1b-b05-p1-reasoning,Medium bucket requires a learner-generated prediction/reconstruction before model reveal.,canonical register,,Agent-authored; not official/PYQ.
C1B-B05-R1,Core1B,Agent-authored retry,,repair and transfer,retry after feedback,B05,REQUESTED_ENRICHMENT,1,0,0,0,0,1,entry,targeted feedback available,Core1B.md#c1b-b05-r1-answer,Retry checks repaired reconstruction after targeted feedback.,canonical register,C1B-B05-P1,Agent-authored retry; not official/PYQ.
C1B-B06-P1,Core1B,Agent-authored tutor prompt,,Relative velocity in two dimensions and observer reversal,prediction; reconstruction,B06,REQUESTED_ENRICHMENT,2,2,1,1,1,7,stretch,attempt first; reveal after attempt,Core1B.md#c1b-b06-p1-reasoning,Hard bucket requires a learner-generated prediction/reconstruction before model reveal.,canonical register,,Agent-authored; not official/PYQ.
C1B-B06-R1,Core1B,Agent-authored retry,,repair and transfer,retry after feedback,B06,REQUESTED_ENRICHMENT,1,1,0,0,0,2,entry,targeted feedback available,Core1B.md#c1b-b06-r1-answer,Retry checks repaired reconstruction after targeted feedback.,canonical register,C1B-B06-P1,Agent-authored retry; not official/PYQ.
C1B-B07-P1,Core1B,Agent-authored tutor prompt,,Meeting requires the same position at the same time,prediction; reconstruction,B07,REQUESTED_ENRICHMENT,2,2,1,1,1,7,stretch,attempt first; reveal after attempt,Core1B.md#c1b-b07-p1-reasoning,Hard bucket requires a learner-generated prediction/reconstruction before model reveal.,canonical register,,Agent-authored; not official/PYQ.
C1B-B07-R1,Core1B,Agent-authored retry,,repair and transfer,retry after feedback,B07,REQUESTED_ENRICHMENT,1,1,0,0,0,2,entry,targeted feedback available,Core1B.md#c1b-b07-r1-answer,Retry checks repaired reconstruction after targeted feedback.,canonical register,C1B-B07-P1,Agent-authored retry; not official/PYQ.
C1B-B08-P1,Core1B,Agent-authored tutor prompt,,Boat/current and rain/observer model transfer; ambiguity,prediction; reconstruction,B08,REQUESTED_ENRICHMENT,2,2,1,1,1,7,stretch,attempt first; reveal after attempt,Core1B.md#c1b-b08-p1-reasoning,Hard bucket requires a learner-generated prediction/reconstruction before model reveal.,canonical register,,Agent-authored; not official/PYQ.
C1B-B08-R1,Core1B,Agent-authored retry,,repair and transfer,retry after feedback,B08,REQUESTED_ENRICHMENT,1,1,0,0,0,2,entry,targeted feedback available,Core1B.md#c1b-b08-r1-answer,Retry checks repaired reconstruction after targeted feedback.,canonical register,C1B-B08-P1,Agent-authored retry; not official/PYQ.
C1B-SYN-01,Core1B,Agent-authored final synthesis,,choose the correct motion model,frames; components; relative velocity; meeting; transfer,B08,REQUESTED_ENRICHMENT,2,2,2,1,2,9,stretch,no full model until attempt,Core1B.md#c1b-syn-01-answer,High novelty/model discrimination across multiple representations and model families.,all B01–B08,,Agent-authored; not official/PYQ.
C2-Q01,Core2,SYN-M2D-20260915-V1 — Author-created test fixture; not an official CBSE or past-exam question.,Q01,"distance, displacement and averages",components,B02,CBSE_STANDARD,2,1,1,1,0,5,standard,H1/H2/H3 ladder,Core2.md#q01-answer,"Demand is inherent in frozen source item; hints change support, not demand.",SYN-M2D-20260915-V1,,FROZEN_FOR_TEST
C2-Q02,Core2,SYN-M2D-20260915-V1 — Author-created test fixture; not an official CBSE or past-exam question.,Q02,constant planar motion from data,components; graphs; stationary interval,B04,REQUESTED_ENRICHMENT,2,2,2,1,0,7,stretch,H1/H2/H3 ladder,Core2.md#q02-answer,"Demand is inherent in frozen source item; hints change support, not demand.",SYN-M2D-20260915-V1,,FROZEN_FOR_TEST
C2-Q03,Core2,SYN-M2D-20260915-V1 — Author-created test fixture; not an official CBSE or past-exam question.,Q03,coordinate components,constant velocity; negative component,B03,CBSE_OPTIONAL_ADVANCED,1,1,1,1,0,4,standard,H1/H2/H3 ladder,Core2.md#q03-answer,"Demand is inherent in frozen source item; hints change support, not demand.",SYN-M2D-20260915-V1,,FROZEN_FOR_TEST
C2-Q04,Core2,SYN-M2D-20260915-V1 — Author-created test fixture; not an official CBSE or past-exam question.,Q04,1D relative catch-up,meeting; observer reversal,B05,REQUESTED_ENRICHMENT,1,0,2,1,0,4,standard,H1/H2/H3 ladder,Core2.md#q04-answer,"Demand is inherent in frozen source item; hints change support, not demand.",SYN-M2D-20260915-V1,,FROZEN_FOR_TEST
C2-Q05,Core2,SYN-M2D-20260915-V1 — Author-created test fixture; not an official CBSE or past-exam question.,Q05,opposite-direction relative motion,meeting; signs,B05,REQUESTED_ENRICHMENT,1,0,2,1,0,4,standard,H1/H2/H3 ladder,Core2.md#q05-answer,"Demand is inherent in frozen source item; hints change support, not demand.",SYN-M2D-20260915-V1,,FROZEN_FOR_TEST
C2-Q06,Core2,SYN-M2D-20260915-V1 — Author-created test fixture; not an official CBSE or past-exam question.,Q06,2D relative velocity,separation; observer reversal,B06,REQUESTED_ENRICHMENT,2,1,1,1,1,6,standard,H1/H2/H3 ladder,Core2.md#q06-answer,"Demand is inherent in frozen source item; hints change support, not demand.",SYN-M2D-20260915-V1,,FROZEN_FOR_TEST
C2-Q07,Core2,SYN-M2D-20260915-V1 — Author-created test fixture; not an official CBSE or past-exam question.,Q07,same-position same-time meeting,two coordinate equations,B07,REQUESTED_ENRICHMENT,2,1,2,2,0,7,stretch,H1/H2/H3 ladder,Core2.md#q07-answer,"Demand is inherent in frozen source item; hints change support, not demand.",SYN-M2D-20260915-V1,,FROZEN_FOR_TEST
C2-Q08,Core2,SYN-M2D-20260915-V1 — Author-created test fixture; not an official CBSE or past-exam question.,Q08,path crossing versus collision,closest approach enrichment,B07,REQUESTED_ENRICHMENT,2,2,2,2,1,9,stretch,H1/H2/H3 ladder,Core2.md#q08-answer,"Demand is inherent in frozen source item; hints change support, not demand.",SYN-M2D-20260915-V1,,FROZEN_FOR_TEST
C2-Q09,Core2,SYN-M2D-20260915-V1 — Author-created test fixture; not an official CBSE or past-exam question.,Q09,boat/current frame composition,crossing component; Pythagoras,B08,REQUESTED_ENRICHMENT,2,2,2,1,1,8,stretch,H1/H2/H3 ladder,Core2.md#q09-answer,"Demand is inherent in frozen source item; hints change support, not demand.",SYN-M2D-20260915-V1,,FROZEN_FOR_TEST
C2-Q10,Core2,SYN-M2D-20260915-V1 — Author-created test fixture; not an official CBSE or past-exam question.,Q10,rain/observer relative velocity,component subtraction,B08,REQUESTED_ENRICHMENT,2,2,1,1,0,6,standard,H1/H2/H3 ladder,Core2.md#q10-answer,"Demand is inherent in frozen source item; hints change support, not demand.",SYN-M2D-20260915-V1,,FROZEN_FOR_TEST
C2-Q11,Core2,SYN-M2D-20260915-V1 — Author-created test fixture; not an official CBSE or past-exam question.,Q11,unit conversion and relative velocity,separation,B05,REQUESTED_ENRICHMENT,1,0,1,1,0,3,entry,H1/H2/H3 ladder,Core2.md#q11-answer,"Demand is inherent in frozen source item; hints change support, not demand.",SYN-M2D-20260915-V1,,FROZEN_FOR_TEST
C2-Q12,Core2,SYN-M2D-20260915-V1 — Author-created test fixture; not an official CBSE or past-exam question.,Q12,underdetermined relative motion,missing directions,B08,REQUESTED_ENRICHMENT,2,0,1,0,2,5,standard,H1/H2/H3 ladder,Core2.md#q12-answer,"Demand is inherent in frozen source item; hints change support, not demand.",SYN-M2D-20260915-V1,,FROZEN_FOR_TEST; SOURCE_QUALITY_HOLD_UNDERDETERMINED
2A-Q01,Core2A,Agent-authored (2A-Q01),,distance versus displacement,averages; Pythagoras,B02,CBSE_STANDARD,1,1,0,1,0,3,entry,high: path/resultant split named,Core2A.md#2a-q01-solution,Demand follows actual inference/representation/constraint/algebra/novelty burden; hints affect support only.,Core1A + canonical register,,Agent-authored; not official/PYQ.
2A-Q02,Core2A,Agent-authored (2A-Q02),,signed coordinate changes,magnitude,B03,CBSE_OPTIONAL_ADVANCED,1,1,0,1,0,3,entry,high: final-minus-initial template,Core2A.md#2a-q02-solution,Demand follows actual inference/representation/constraint/algebra/novelty burden; hints affect support only.,Core1A + canonical register,,Agent-authored; not official/PYQ.
2A-Q03,Core2A,Agent-authored (2A-Q03),,reference frame setup,origin; axes; clock,B01,CBSE_OPTIONAL_ADVANCED,1,1,0,0,0,2,entry,high: four-part frame checklist,Core2A.md#2a-q03-solution,Demand follows actual inference/representation/constraint/algebra/novelty burden; hints affect support only.,Core1A + canonical register,,Agent-authored; not official/PYQ.
2A-Q04,Core2A,Agent-authored (2A-Q04),,1D relative velocity with unit conversion,signs,B05,REQUESTED_ENRICHMENT,1,0,1,1,0,3,entry,high: conversion then subtraction cue,Core2A.md#2a-q04-solution,Demand follows actual inference/representation/constraint/algebra/novelty burden; hints affect support only.,Core1A + canonical register,,Agent-authored; not official/PYQ.
2A-Q05,Core2A,Agent-authored (2A-Q05),,constant velocity in two coordinates,table; graph slopes,B04,REQUESTED_ENRICHMENT,1,1,0,1,0,3,entry,high: separate x/y equations,Core2A.md#2a-q05-solution,Demand follows actual inference/representation/constraint/algebra/novelty burden; hints affect support only.,Core1A + canonical register,,Agent-authored; not official/PYQ.
2A-Q06,Core2A,Agent-authored (2A-Q06),,2D relative velocity,observer reversal; Pythagoras,B06,REQUESTED_ENRICHMENT,1,1,1,0,0,3,entry,high: ordered component subtraction,Core2A.md#2a-q06-solution,Demand follows actual inference/representation/constraint/algebra/novelty burden; hints affect support only.,Core1A + canonical register,,Agent-authored; not official/PYQ.
2A-Q07,Core2A,Agent-authored (2A-Q07),,positive two-dimensional meeting,shared time,B07,REQUESTED_ENRICHMENT,2,1,2,1,0,6,standard,medium: x-condition then y-check,Core2A.md#2a-q07-solution,Demand follows actual inference/representation/constraint/algebra/novelty burden; hints affect support only.,Core1A + canonical register,,Agent-authored; not official/PYQ.
2A-Q08,Core2A,Agent-authored (2A-Q08),,boat/current frame composition,crossing time; drift,B08,REQUESTED_ENRICHMENT,2,2,1,1,0,6,standard,medium: frame labels then component route,Core2A.md#2a-q08-solution,Demand follows actual inference/representation/constraint/algebra/novelty burden; hints affect support only.,Core1A + canonical register,,Agent-authored; not official/PYQ.
2A-Q09,Core2A,Agent-authored (2A-Q09),,crossing paths versus collision,arrival time,B07,REQUESTED_ENRICHMENT,2,2,2,0,0,6,standard,medium: compare arrival times,Core2A.md#2a-q09-solution,Demand follows actual inference/representation/constraint/algebra/novelty burden; hints affect support only.,Core1A + canonical register,,Agent-authored; not official/PYQ.
2A-Q10,Core2A,Agent-authored (2A-Q10),,zero relative velocity versus zero separation,initial relative position,B05,REQUESTED_ENRICHMENT,2,1,2,0,0,5,standard,medium: compare velocity and position separately,Core2A.md#2a-q10-solution,Demand follows actual inference/representation/constraint/algebra/novelty burden; hints affect support only.,Core1A + canonical register,,Agent-authored; not official/PYQ.
2A-Q11,Core2A,Agent-authored (2A-Q11),,relative velocity with non-axis-aligned components,reversal; magnitude,B06,REQUESTED_ENRICHMENT,2,2,2,1,1,8,stretch,medium-low: subtraction order cue only,Core2A.md#2a-q11-solution,Demand follows actual inference/representation/constraint/algebra/novelty burden; hints affect support only.,Core1A + canonical register,,Agent-authored; not official/PYQ.
2A-Q12,Core2A,Agent-authored (2A-Q12),,inverse boat/current design,shared time; algebra,B08,REQUESTED_ENRICHMENT,2,2,2,2,1,9,stretch,medium-low: infer time from drift first,Core2A.md#2a-q12-solution,Demand follows actual inference/representation/constraint/algebra/novelty burden; hints affect support only.,Core1A + canonical register,,Agent-authored; not official/PYQ.
2B-Q01,Core2B,Agent-authored (2B-Q01),,distance versus displacement under changed path,averages,B02,CBSE_STANDARD,1,1,0,0,1,3,entry,high: verbal then sketch cue,Core2B.md#2b-q01-closure,Demand comes from model choice/transfer action; support is recorded separately.,Core1A/canonical register,,Agent-authored; not official/PYQ; FRESH_TRANSFER.
2B-Q02,Core2B,Agent-authored (2B-Q02),,vector reconstruction from components,coordinates; magnitude,B03,CBSE_OPTIONAL_ADVANCED,1,1,0,1,0,3,entry,high: reconstruction cue,Core2B.md#2b-q02-closure,Demand comes from model choice/transfer action; support is recorded separately.,Core1A/canonical register,2A-Q02,Agent-authored; not official/PYQ; REGISTERED_REVISIT.
2B-Q03,Core2B,Agent-authored (2B-Q03),,reference-frame discrimination,observer,B01,CBSE_OPTIONAL_ADVANCED,1,1,0,0,1,3,entry,high: observer sentence frame,Core2B.md#2b-q03-closure,Demand comes from model choice/transfer action; support is recorded separately.,Core1A/canonical register,,Agent-authored; not official/PYQ; FRESH_TRANSFER.
2B-Q04,Core2B,Agent-authored (2B-Q04),,constant separation versus zero separation,equal velocity; relative position,B05,REQUESTED_ENRICHMENT,1,1,1,0,0,3,entry,high: prediction first,Core2B.md#2b-q04-closure,Demand comes from model choice/transfer action; support is recorded separately.,Core1A/canonical register,,Agent-authored; not official/PYQ; FRESH_TRANSFER.
2B-Q05,Core2B,Agent-authored (2B-Q05),,graph-to-path translation,component velocity; shared time,B04,REQUESTED_ENRICHMENT,1,2,0,0,0,3,entry,high: graph-reading prompts,Core2B.md#2b-q05-closure,Demand comes from model choice/transfer action; support is recorded separately.,Core1A/canonical register,,Agent-authored; not official/PYQ; FRESH_TRANSFER.
2B-Q06,Core2B,Agent-authored (2B-Q06),,observer reversal invariant,magnitude,B06,REQUESTED_ENRICHMENT,1,1,0,0,1,3,entry,high: reversal invariant cue,Core2B.md#2b-q06-closure,Demand comes from model choice/transfer action; support is recorded separately.,Core1A/canonical register,2A-Q06,Agent-authored; not official/PYQ; REGISTERED_REVISIT.
2B-Q07,Core2B,Agent-authored (2B-Q07),,positive 2D meeting control,same-time condition,B07,REQUESTED_ENRICHMENT,2,1,2,1,0,6,standard,medium: equations after prediction,Core2B.md#2b-q07-closure,Demand comes from model choice/transfer action; support is recorded separately.,Core1A/canonical register,,Agent-authored; not official/PYQ; FRESH_TRANSFER.
2B-Q08,Core2B,Agent-authored (2B-Q08),,river crossing model choice,frame composition; components,B08,REQUESTED_ENRICHMENT,2,2,1,0,1,6,standard,medium: model choice cue,Core2B.md#2b-q08-closure,Demand comes from model choice/transfer action; support is recorded separately.,Core1A/canonical register,,Agent-authored; not official/PYQ; FRESH_TRANSFER.
2B-Q09,Core2B,Agent-authored (2B-Q09),,path intersection versus collision event,arrival time,B07,REQUESTED_ENRICHMENT,2,2,2,0,0,6,standard,medium: time-label cue,Core2B.md#2b-q09-closure,Demand comes from model choice/transfer action; support is recorded separately.,Core1A/canonical register,,Agent-authored; not official/PYQ; FRESH_TRANSFER.
2B-Q10,Core2B,Agent-authored (2B-Q10),,error diagnosis in boat/current model,crossing time; drift,B08,REQUESTED_ENRICHMENT,2,2,1,1,0,6,standard,medium: diagnose before repair,Core2B.md#2b-q10-closure,Demand comes from model choice/transfer action; support is recorded separately.,Core1A/canonical register,2A-Q08,Agent-authored; not official/PYQ; REGISTERED_REVISIT.
2B-Q11,Core2B,Agent-authored (2B-Q11),,subtraction-order model discrimination,observer reversal,B06,REQUESTED_ENRICHMENT,2,2,2,1,1,8,stretch,medium-low: model selection first,Core2B.md#2b-q11-closure,Demand comes from model choice/transfer action; support is recorded separately.,Core1A/canonical register,,Agent-authored; not official/PYQ; FRESH_TRANSFER.
2B-Q12,Core2B,Agent-authored (2B-Q12),,inverse river constraint discrimination,shared time; drift,B08,REQUESTED_ENRICHMENT,2,2,2,2,1,9,stretch,medium-low: compare competing plans,Core2B.md#2b-q12-closure,Demand comes from model choice/transfer action; support is recorded separately.,Core1A/canonical register,2A-Q12,Agent-authored; not official/PYQ; REGISTERED_REVISIT.
