item_id,source_year,source_question_number,official_answer,verification_batch,independent_verdict,answer_verified_independently,source_or_metadata_status,correction_detail
IOQM-2025-Q26,2025,26,10,C_Q21_Q30,PASS,true,CLEAN,
IOQM-2025-Q27,2025,27,40,C_Q21_Q30,PASS,true,CLEAN,
IOQM-2025-Q28,2025,28,91,C_Q21_Q30,PASS,true,REPOSITORY_METADATA_CORRECTION_REQUIRED,Classifier flattened nested radical; paper has sqrt(x-sqrt(x+a))=sqrt(a)-y.
IOQM-2025-Q29,2025,29,19,C_Q21_Q30,PASS,true,CLEAN,
IOQM-2025-Q30,2025,30,10,C_Q21_Q30,PASS,true,CLEAN,
IOQM-2024-Q01,2024,1,11,A_Q01_Q10,PASS,true,CLEAN,
IOQM-2024-Q02,2024,2,12,A_Q01_Q10,PASS,true,CLEAN,
IOQM-2024-Q03,2024,3,25,A_Q01_Q10,PASS,true,CLEAN,
IOQM-2024-Q04,2024,4,70,A_Q01_Q10,PASS,true,CLEAN,
IOQM-2024-Q05,2024,5,01,A_Q01_Q10,PASS,true,CLEAN,
IOQM-2024-Q06,2024,6,06,A_Q01_Q10,PASS,true,CLEAN,
IOQM-2024-Q07,2024,7,99,A_Q01_Q10,PASS,true,CLEAN,
IOQM-2024-Q08,2024,8,49,A_Q01_Q10,PASS,true,CLEAN,
IOQM-2024-Q09,2024,9,48,A_Q01_Q10,PASS,true,CLEAN,
IOQM-2024-Q10,2024,10,05,A_Q01_Q10,PASS,true,CLEAN,
IOQM-2024-Q11,2024,11,12,B_Q11_Q20,PASS,true,CLEAN,
IOQM-2024-Q12,2024,12,96,B_Q11_Q20,PASS,true,CLEAN,
IOQM-2024-Q13,2024,13,19,B_Q11_Q20,PASS,true,CLEAN,
IOQM-2024-Q14,2024,14,80,B_Q11_Q20,PASS,true,CLEAN,
IOQM-2024-Q15,2024,15,92,B_Q11_Q20,PASS,true,CLEAN,
IOQM-2024-Q16,2024,16,08,B_Q11_Q20,PASS,true,CLEAN,
IOQM-2024-Q17,2024,17,25,B_Q11_Q20,PASS,true,CLEAN,
IOQM-2024-Q18,2024,18,13,B_Q11_Q20,PASS,true,CLEAN,
IOQM-2024-Q19,2024,19,12,B_Q11_Q20,PASS,true,CLEAN,
IOQM-2024-Q20,2024,20,10,B_Q11_Q20,PASS,true,CLEAN,
IOQM-2024-Q21,2024,21,91,C_Q21_Q30,PASS,true,CLEAN,
IOQM-2024-Q22,2024,22,34,C_Q21_Q30,PASS,true,CLEAN,
IOQM-2024-Q23,2024,23,31,C_Q21_Q30,PASS,true,CLEAN,
IOQM-2024-Q24,2024,24,50,C_Q21_Q30,PASS,true,CLEAN,
IOQM-2024-Q25,2024,25,22,C_Q21_Q30,PASS,true,CLEAN,
IOQM-2024-Q26,2024,26,33,C_Q21_Q30,PASS,true,CLEAN,
IOQM-2024-Q27,2024,27,27,C_Q21_Q30,PASS,true,CLEAN,
IOQM-2024-Q28,2024,28,20,C_Q21_Q30,PASS,true,CLEAN,
IOQM-2024-Q29,2024,29,28,C_Q21_Q30,PASS,true,CLEAN,
IOQM-2024-Q30,2024,30,25,C_Q21_Q30,PASS,true,CLEAN,
IOQM-2023-Q01,2023,1,22,A_Q01_Q10,PASS,true,CLEAN,
IOQM-2023-Q02,2023,2,54,A_Q01_Q10,PASS,true,CLEAN,
IOQM-2023-Q03,2023,3,23,A_Q01_Q10,PASS,true,CLEAN,
IOQM-2023-Q04,2023,4,07,A_Q01_Q10,PASS,true,REPOSITORY_METADATA_CORRECTION_REQUIRED,Classifier flattened x^4 as x/4; paper has x^4.
IOQM-2023-Q05,2023,5,10,A_Q01_Q10,PASS,true,CLEAN,
IOQM-2023-Q06,2023,6,16,A_Q01_Q10,PASS,true,CLEAN,
IOQM-2023-Q07,2023,7,48,A_Q01_Q10,PASS,true,CLEAN,
IOQM-2023-Q08,2023,8,59,A_Q01_Q10,PASS,true,CLEAN,
IOQM-2023-Q09,2023,9,17,A_Q01_Q10,PASS,true,CLEAN,
IOQM-2023-Q10,2023,10,51,A_Q01_Q10,PASS,true,CLEAN,
IOQM-2023-Q11,2023,11,14,B_Q11_Q20,PASS,true,CLEAN,
IOQM-2023-Q12,2023,12,18,B_Q11_Q20,PASS,true,CLEAN,
IOQM-2023-Q13,2023,13,58,B_Q11_Q20,PASS,true,CLEAN,
IOQM-2023-Q14,2023,14,40,B_Q11_Q20,PASS,true,CLEAN,
IOQM-2023-Q15,2023,15,03,B_Q11_Q20,PASS,true,CLEAN,
IOQM-2023-Q16,2023,16,94,B_Q11_Q20,PASS,true,CLEAN,
IOQM-2023-Q17,2023,17,66,B_Q11_Q20,PASS,true,CLEAN,
IOQM-2023-Q18,2023,18,71,B_Q11_Q20,PASS,true,CLEAN,
IOQM-2023-Q19,2023,19,92,B_Q11_Q20,PASS,true,CLEAN,
IOQM-2023-Q20,2023,20,43,B_Q11_Q20,PASS,true,CLEAN,
IOQM-2023-Q21,2023,21,15,C_Q21_Q30,PASS,true,CLEAN,
IOQM-2023-Q22,2023,22,77,C_Q21_Q30,PASS,true,CLEAN,
IOQM-2023-Q23,2023,23,18,C_Q21_Q30,PASS,true,CLEAN,
IOQM-2023-Q24,2023,24,31,C_Q21_Q30,PASS,true,CLEAN,
IOQM-2023-Q25,2023,25,28,C_Q21_Q30,PASS,true,CLEAN,
IOQM-2023-Q26,2023,26,19,C_Q21_Q30,PASS,true,CLEAN,
IOQM-2023-Q27,2023,27,91,C_Q21_Q30,PASS,true,CLEAN,
IOQM-2023-Q28,2023,28,67,C_Q21_Q30,PASS,true,CLEAN,
IOQM-2023-Q29,2023,29,95,C_Q21_Q30,PASS,true,CLEAN,
IOQM-2023-Q30,2023,30,18,C_Q21_Q30,PASS,true,CLEAN,
